Museum;Location;Country;Lattitude,longitude
Art Institute;Chicago;USA;41.881832, -87.623177
Bayerische Staatsgemäldesammlungen - Neue Pinakothek;Munich;GER;48.137154, 11.576124
Brooklyn Museum;New York;USA;40.73061, -73.935242
Columbia Museum of Art;Columbia;USA;39.203712, -76.861046
Detroit Insitute of Arts;Detroit;USA;42.331429, -83.045753
Freising Cathedral;Freising;GER;48.40351, 11.74876
Gemäldegalerie;Berlin;GER;52.520008, 13.404954
Grabar Restaurator Institute;Moscow;RUS;55.751244, 37.618423
Historical Museum of Crete;Heraklion;GRE;35.341846, 25.148254
Indianapolis Museum of Art;Indianapolis;USA;39.791, -86.148003
J. Paul Getty Museum;Los Angeles;USA;34.052235, -118.243683
Kimbell Art Museum;Fort Worth;USA;32.768799, -97.309341
Kröller-Müller Museum;Otterlo;NED;52.056, 5.465999
Kunsthistorisches Museum;Vienna;AUT;48.210033, 16.363449
Lentos Kunstmuseum Linz;Linz;AUT;48.30639, 14.28611
Magyar Nemzeti Bank;Budapest;HUN;47.497913, 19.040236
Magyar Nemzeti Galléria;Budapest;HUN;47.497913, 19.040236
McNay Art Museum;San Antonio;USA;29.424349, -98.491142
Metropolitan Museum of Art;New York;USA;40.73061, -73.935242
Musée d'Orsay;Paris;FRA;48.864716, 2.349014
Musée de l'Orangerie;Paris;FRA;48.864716, 2.349014
Museo Nacional del Prado;Madrid;ESP;40.416775, -3.70379
Museo Thyssen-Bornemisza;Madrid;ESP;40.416775, -3.70379
Museum Bojmans Van Beuningen;Rotterdam;NED;51.926517, 4.462456
Museum of Modern Art;New York;USA;40.73061, -73.935242
National Gallery;London;ENG;51.509865, -0.118092
National Gallery of Art;Washington;USA;38.32033, -77.12394
National Museum;Stockholm;SWE;59.334591, 18.063240
New Orleans Museum of Art;New Orleans;USA;29.951065, -90.071533
Nizhny Novgorod State Art Museum;Moscow;RUS;55.751244, 37.618423
North Carolina Museum of Art;Raleigh;USA;35.787743, -78.644257
Norton Simon Museum;Pasadena;USA;34.156113, -118.131943
Ny Carlsberg Glyptotek;Copenhagen;DEN;55.676098, 12.568337
"Oscar Reinhart Collection ""Am Römerholz""";Winterthur;SWI;47.499950, 8.737565
Pinacoteca Giovanni e Marella Agnelli;Turin;ITA;45.06582, 7.44334
Portland Art Museum;Portland;USA;45.523064, -122.676483
Rijksmuseum;Amsterdam;NED;52.377956, 4.89707
Saint Louis Art Museum;St. Louis;USA;38.627003, -90.199402
Sammlung E. G. Bührle;Zürich;SWI;47.36667, 8.55
Staatliche Kunsthalle;Karlsruhe;GER;49.006889, 8.403653
Szépművészeti Múzeum;Budapest;HUN;47.497913, 19.040236
Tate Gallery;London;ENG;51.509865, -0.118092
The Agnes Etherington Art Center;Kingston;CAN;44.233334, -76.5
The Barnes Foundation, Merion;Philadelphia;USA;39.952583, -75.165222
The Cleveland Museum of Art;Cleveland;USA;41.505493, -81.68129
The Courtauld Gallery;London;ENG;51.509865, -0.118092
The Leiden Collection;New York;USA;40.73061, -73.935242
The Museum of Fine Arts;Houston;USA;29.749907, -95.358421
The Phillips Collection;Washington;USA;38.32033, -77.12394
The Puskin State Museum of Fine Arts;Moscow;RUS;55.751244, 37.618423
The Puskin State Museum of Fine Arts;Moscow;RUS;55.751244, 37.618423
Timken Museum of Art;San Diego;USA;32.71533, -117.15726
Toledo Museum of Art;Toledo;USA;41.66394, -83.55521
Wallraf-Richartz-Museum;Cologne;GER;50.93333, 6.95
